,Glucose
385,True
386,True
387,True
388,True
389,True
390,True
391,True
392,True
393,True
394,True
395,True
396,False
397,True
398,False
399,True
400,False
401,True
402,True
403,False
404,True
405,True
406,True
407,True
408,True
409,True
410,True
411,True
412,True
413,True
414,True
415,True
416,False
417,True
418,False
419,True
420,True
421,False
422,True
423,True
424,True
425,True
427,True
428,True
429,False
430,False
431,False
432,False
433,True
434,False
435,True
436,True
437,True
438,False
439,True
440,True
441,False
442,True
443,True
444,True
446,True
447,False
448,True
449,True
450,False
451,True
452,False
453,True
454,True
455,True
456,True
457,False
458,True
459,True
460,True
461,False
462,False
463,False
464,True
465,True
466,False
467,False
468,True
469,True
470,True
471,True
472,True
473,True
474,True
475,True
476,True
477,True
478,True
479,True
480,True
481,True
482,False
483,False
484,True
485,True
486,True
487,True
488,False
489,True
490,False
491,False
492,False
493,True
495,True
496,True
497,False
498,True
499,True
500,True
501,False
502,True
503,False
504,False
505,False
506,True
507,True
508,False
509,True
510,False
511,True
512,False
513,False
514,False
515,True
516,True
517,True
518,False
519,True
520,False
521,True
523,True
524,True
525,False
526,False
527,True
528,True
529,True
530,True
531,True
532,False
533,False
534,False
535,True
536,True
537,False
538,True
539,True
540,True
541,True
542,False
543,False
544,False
545,True
546,True
547,True
548,True
549,True
550,True
551,False
552,True
553,False
554,False
555,True
556,False
557,True
558,True
559,False
560,True
561,True
562,False
563,False
564,False
565,False
566,False
567,False
568,True
569,True
570,False
571,True
572,True
573,False
574,True
575,True
576,True
577,True
578,True
580,True
581,True
582,True
583,True
584,True
585,False
586,True
587,True
588,True
590,True
591,True
592,True
593,False
594,True
595,True
596,False
597,False
598,True
599,True
600,True
601,False
602,True
603,True
604,True
605,True
606,True
607,False
608,True
609,True
610,True
611,True
612,True
613,True
614,True
615,True
616,True
617,False
618,True
619,True
620,True
621,False
622,True
623,False
624,True
625,False
626,True
627,True
628,True
629,False
630,True
631,True
632,True
633,True
634,False
635,True
636,True
637,False
638,False
639,True
640,True
641,True
642,True
643,False
644,True
645,True
646,True
647,True
648,True
649,True
650,False
651,True
652,True
653,True
654,True
655,True
656,True
657,True
658,True
659,False
660,True
661,True
662,True
663,True
664,True
665,True
666,True
667,True
668,False
669,True
670,True
671,False
672,False
673,True
674,False
675,True
676,True
677,False
678,True
679,True
680,False
681,True
682,False
683,True
684,True
685,True
686,True
687,True
688,True
689,True
690,True
691,True
692,True
693,True
694,False
695,True
696,True
697,False
698,True
699,True
700,True
701,True
702,True
703,True
704,True
705,False
707,True
708,True
709,False
710,True
711,True
712,True
713,True
714,True
715,True
716,True
717,False
718,True
719,False
720,False
721,True
722,True
723,True
724,True
725,True
726,True
727,True
728,True
729,False
730,True
731,True
732,True
733,True
734,True
735,False
736,True
737,False
738,False
739,True
740,True
741,True
742,True
743,True
744,True
745,True
746,True
747,False
748,True
749,True
750,True
751,True
752,True
753,True
754,True
755,True
756,True
757,True
758,True
759,True
760,False
761,True
762,False
763,True
764,True
765,True
766,True
767,False
